Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	1	554.0		2.9933106384533645		12.84154049220916		1.1229054592810457		638.0		14.640391865848638		12.083107255572912		606.0		2.796765310826994		13.163405789158325		0.7933816978679069		654.0		13.80545479070461		10.047445948453623		7.0		16.0		7.0		13.0		13.0	
1	2	630.0		2.9932405373061775		15.610533411247784		0.983363676915612		714.0		16.520804654703745		12.030412119578797		552.0		3.0352535354214982		14.71573987606765		1.0508413468404325		595.0		15.16019869813007		11.647861927348297		6.0		16.0		9.0		12.0		13.0	
1	3	618.0		2.7791335880924826		14.416253898772068		0.8816404111808431		699.0		15.236355154674552		11.509985593583341		522.0		2.8878192402242537		12.826901564942991		1.0450478474940321		569.0		13.769274752702694		11.328422590762537		6.0		15.0		7.0		13.0		13.0	
1	4	633.0		2.963802860662793		13.441665143950084		0.9002019034245964		710.0		13.898054851565437		10.59601801615472		655.0		2.5523156684546655		11.233514928078616		0.7714827309040239		693.0		11.372632852139525		7.767544221966817		3.0		14.0		6.0		12.0		13.0	
1	5	562.0		2.9297174642210666		15.526700585164518		0.912254106218081		649.0		16.202247555411585		12.38370459343077		564.0		2.978004760453165		13.30205334329695		1.0310257827412477		605.0		13.482251342371422		11.196495400570587		6.0		16.0		9.0		12.0		13.0	
1	6	663.0		2.789113797023288		13.758687864823733		0.8782568667551408		739.0		14.830003824896584		10.969613291601474		612.0		2.693620211070252		12.108738514817835		0.7493710899817821		648.0		12.40365131169606		9.067663404536013		3.0		13.0		8.0		13.0		12.0	
1	7	622.0		2.833271345170948		13.265394073095946		0.8448499128738332		703.0		14.564212925846295		11.448643116274589		651.0		2.921746279044304		14.426982556785676		1.0257777551860832		685.0		14.289584967088567		9.529324908244847		1.0		16.0		7.0		12.0		13.0	
1	8	628.0		2.8734992591807904		13.585049188811222		1.0203658341163637		709.0		14.694075269343736		11.322154217450247		593.0		3.0061921575810526		13.768800761522346		0.9266765208684393		633.0		14.228994769021007		10.161937498721453		4.0		16.0		8.0		13.0		12.0	
1	9	563.0		2.789487671373428		11.937755600077374		1.0833556012978582		648.0		12.593531169933557		9.296942652139666		563.0		2.9693847168822085		12.538729413900205		0.9918459324872237		613.0		12.768245199789495		9.340838049111056		8.0		15.0		10.0		13.0		13.0	
1	10	639.0		2.7953397821788313		13.624858543181881		0.8512521810848596		724.0		14.358950414765696		10.940360068838448		607.0		2.785477299298423		12.201610981976375		1.0086664892354489		646.0		12.369589890833309		8.769656432739916		4.0		16.0		9.0		13.0		13.0	
1	11	702.0		2.8068585290903556		15.253137852897366		0.8241627918544449		784.0		16.173222380677064		10.874851221665494		611.0		2.996768093182474		14.647919609317874		0.7497688114898018		646.0		15.174377735475908		11.476413230344873		4.0		15.0		10.0		11.0		11.0	
1	12	554.0		3.0459612098504065		13.723157115375455		1.0648699489193008		640.0		15.242612336620207		11.329806958916555		619.0		2.938106515041182		12.921668051827838		0.7894694649282333		657.0		13.099043248319596		9.245030787055276		2.0		16.0		9.0		13.0		13.0	
1	13	648.0		2.866626873838612		13.958155725323108		0.8996963305369632		723.0		14.528760060095129		10.124292698815774		676.0		2.8376850442714225		14.517004008287222		0.8865141129219359		713.0		14.345604013642326		8.954769354854951		3.0		16.0		6.0		11.0		13.0	
1	14	591.0		2.838174725797121		13.000552796770103		0.9970788527394883		669.0		13.894327216130641		10.493513848722113		637.0		2.90044956730525		14.513832614897733		0.9120632136932161		677.0		14.45216173718079		9.76879291032596		5.0		16.0		6.0		11.0		13.0	
1	15	533.0		3.0093644546943947		14.44440943663372		1.0393486857884604		616.0		14.893463489847754		11.128149195159223		614.0		2.9427135350888505		14.461333279366421		0.954271824431035		651.0		14.877776516334661		10.603966058172633		4.0		16.0		9.0		12.0		12.0	
1	16	579.0		2.962060758464176		14.097063974953171		0.9344687735329429		661.0		14.806628925873845		10.448051019358644		492.0		2.9923493249714923		11.554116526061389		1.1229364591810687		536.0		11.933462077700572		9.468812082154711		8.0		16.0		6.0		11.0		13.0	
