param no_time_periods := 5;
param : no_demand_bids :=
1 20
2 20
3 20
4 20
5 20
; 

param : no_supply_bids :=
1 21
2 21
3 21
4 21
5 21
;

param : InputQD   InputPD    :=			
1	1	215	42.7
1	2	1	103.8
1	3	179	59.7
1	4	18	56.2
1	5	222	68.8
1	6	20	27.5
1	7	2	56.9
1	8	3	62.5
1	9	73	43.7
1	10	2	42.1
1	11	13	58.3
1	12	2	34.1
1	13	21	76.4
1	14	21	60.2
1	15	1	52.2
1	16	31	50.9
1	17	114	39.5
1	18	114	56.3
1	19	328	28.5
1	20	247	53.7
2	1	873	94.7
2	2	1	93.4
2	3	272	80.2
2	4	17	27.5
2	5	212	87.2
2	6	34	63.7
2	7	3	61.3
2	8	70	53.6
2	9	13	54.2
2	10	20	37.1
2	11	24	29.6
2	12	120	50.8
2	13	32	53.1
2	14	132	47.5
2	15	33	52.1
2	16	232	43.2
2	17	11	49.3
2	18	162	28.7
2	19	162	38.4
2	20	33	54.8
3	1	846	110.4
3	2	1	83.6
3	3	172	74.5
3	4	16	54.2
3	5	249	90.7
3	6	3	61.6
3	7	70	59.9
3	8	17	50.4
3	9	20	52.3
3	10	32	58
3	11	32	27.6
3	12	116	45.7
3	13	116	49.1
3	14	151	47.8
3	15	164	38.2
3	16	128	48.4
3	17	23	44.6
3	18	136	28.6
3	19	12	42.9
3	20	375	58.9
4	1	815	79.9
4	2	1	90.4
4	3	190	77.5
4	4	18	50.4
4	5	249	78.2
4	6	21	62.4
4	7	3	39.5
4	8	74	54.5
4	9	11	55.1
4	10	16	30.5
4	11	122	57.6
4	12	37	52
4	13	33	56.2
4	14	26	56.7
4	15	151	47.6
4	16	165	45.3
4	17	134	54.6
4	18	114	42.7
4	19	30	27.7
4	20	22	61.3
5	1	721	97.9
5	2	1	86
5	3	188	71.7
5	4	17	31.3
5	5	243	69.7
5	6	345	80.5
5	7	40	39.1
5	8	3	34.7
5	9	68	47.4
5	10	32	53.3
5	11	12	59.4
5	12	28	57.2
5	13	120	27.5
5	14	28	61.2
5	15	31	52.5
5	16	19	58.3
5	17	181	54.9
5	18	204	49.6
5	19	167	48
5	20	242	38.9
;

param :  InputQS InputPS    :=			
1	1	278	47.7
1	2	35	68.6
1	3	119	31.2
1	4	13	38.6
1	5	8	60.8
1	6	76	41.9
1	7	26	74.7
1	8	99	79.1
1	9	101	44.9
1	10	38	34.7
1	11	138	48.7
1	12	56	64.4
1	13	64	73.4
1	14	54	70.9
1	15	71	27.3
1	16	8	67.5
1	17	61	42.7
1	18	203	46
1	19	98	50.1
1	20	33	75.7
2	1	182	49.6
2	2	36	56.9
2	3	9	61.3
2	4	13	72.3
2	5	9	33.3
2	6	459	76.7
2	7	98	67.3
2	8	111	39.5
2	9	118	48.5
2	10	37	37.6
2	11	70	59.1
2	12	64	60.3
2	13	66	68.4
2	14	77	34.9
2	15	61	27.3
2	16	8	69.3
2	17	65	43.6
2	18	230	44.7
2	19	109	60.9
2	20	29	65.1
3	1	820	55
3	2	75	68.9
3	3	12	64.1
3	4	11	59.6
3	5	9	54.3
3	6	32	27.3
3	7	162	67.9
3	8	7	42.3
3	9	73	75.6
3	10	121	65.3
3	11	23	40.7
3	12	109	62.9
3	13	37	40.8
3	14	9	78.5
3	15	68	52.9
3	16	206	71.7
3	17	61	32.8
3	18	34	46.6
3	19	63	66.4
3	20	63	74.4
4	1	878	36.3
4	2	122	53
4	3	9	63.7
4	4	12	43
4	5	6	58.4
4	6	155	66.1
4	7	70	61.5
4	8	6	71.4
4	9	79	62.9
4	10	157	68.7
4	11	24	27.3
4	12	265	72.5
4	13	39	40.7
4	14	30	67.3
4	15	102	72.2
4	16	6	33.8
4	17	63	69.4
4	18	64	36.5
4	19	8	60.4
4	20	63	77
5	1	674	63.7
5	2	159	60.2
5	3	152	31.6
5	4	35	33.8
5	5	38	27.3
5	6	99	43.3
5	7	150	76
5	8	27	58.9
5	9	28	68.9
5	10	51	64.7
5	11	78	66.9
5	12	58	39
5	13	152	78.9
5	14	58	28.2
5	15	41	86.7
5	16	66	35.9
5	17	66	72.3
5	18	97	49.5
5	19	40	85.9
5	20	44	62.1
1	21	1030	31
2	21	1200	46
3	21	1200	54
4	21	1100	40
5	21	1200	53
;






